"title","year","rating","num_ratings"
"Dial M for Murder",1954,8.1,178026
"The Secret in Their Eyes",2009,8.1,211670
"Howl's Moving Castle",2004,8.1,401348
"Three Billboards Outside Ebbing, Missouri",2017,8.1,515330
"The Bridge on the River Kwai",1957,8.1,222909
"Trainspotting",1996,8.1,692911
"Prisoners",2013,8.1,727670
"Warrior",2011,8.1,476726
"Fargo",1996,8.1,684194
"Gran Torino",2008,8.1,781276
"My Neighbor Totoro",1988,8.1,344710
"Catch Me If You Can",2002,8.1,996693
"Million Dollar Baby",2004,8.1,692402
"Children of Heaven",1997,8.1,75535
"Blade Runner",1982,8.1,777059
"The Gold Rush",1925,8.1,112527
"Before Sunrise",1995,8.1,313600
"12 Years a Slave",2013,8.1,706975
"Klaus",2019,8.1,161850
"Harry Potter and the Deathly Hallows: Part 2",2011,8.1,884817
"On the Waterfront",1954,8.1,156684
"Ben-Hur",1959,8.1,241770
"Gone Girl",2014,8.1,992729
"The Grand Budapest Hotel",2014,8.1,821010
"Wild Strawberries",1957,8.1,108518
"The General",1926,8.1,92581
"The Third Man",1949,8.1,173314
"In the Name of the Father",1993,8.1,177440
"The Deer Hunter",1978,8.1,342572
"Barry Lyndon",1975,8.1,170940
"Hacksaw Ridge",2016,8.1,535230
"The Wages of Fear",1953,8.1,62329
"Memories of Murder",2003,8.1,189437
"Sherlock Jr.",1924,8.1,51134
"Wild Tales",2014,8.1,201525
"Mr. Smith Goes to Washington",1939,8.1,116544
"Mad Max: Fury Road",2015,8.1,1013003
"The Seventh Seal",1957,8.1,187315
"Mary and Max",2009,8.1,178977
"How to Train Your Dragon",2010,8.1,748073
"Room",2015,8.1,425461
"Monsters, Inc.",2001,8.1,917578
"Jaws",1975,8.1,613595
"Dead Poets Society",1989,8.1,498712
"The Big Lebowski",1998,8.1,815753
"Tokyo Story",1953,8.1,62894
"The Passion of Joan of Arc",1928,8.1,56139
"Hotel Rwanda",2004,8,358692
"Ford v Ferrari",2019,8,403121
"Rocky",1976,8,584185
"Platoon",1986,8,418236
"Ratatouille",2007,8,748158
"Spotlight",2015,8,474953
"The Terminator",1984,8,873228
"Logan",2017,8,772324
"Stand by Me",1986,8,409286
"Rush",2013,8,484699
"Network",1976,8,161422
"Into the Wild",2007,8,628292
"Before Sunset",2004,8,268517
"The Wizard of Oz",1939,8,404859
"Pather Panchali",1955,8,34085
"Groundhog Day",1993,8,640334
"The Best Years of Our Lives",1946,8,65950
"The Exorcist",1973,8,413783
"The Incredibles",2004,8,746854
"To Be or Not to Be",1942,8,38640
"La haine",1995,8,177306
"The Battle of Algiers",1966,8,61401
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,8,1136704
"Hachi: A Dog's Tale",2009,8,289740
"The Grapes of Wrath",1940,8,94792
"Jai Bhim",2021,8,204071
"My Father and My Son",2005,8,87280
"Amores Perros",2000,8,243070
"Rebecca",1940,8,138863
"Cool Hand Luke",1967,8,179216
"The Handmaiden",2016,8,152098
"The 400 Blows",1959,8,120097
"The Sound of Music",1965,8,239889
"It Happened One Night",1934,8,105629
"Persona",1966,8,121239
"Life of Brian",1979,8,403902
"The Iron Giant",1999,8,203376
"The Help",2011,8,464158
"Dersu Uzala",1975,8,30919
"Aladdin",1992,8,427108
"Gandhi",1982,8,234091
"Dances with Wolves",1990,8,270320
